2025-04-01 22:33:08,026 INFO    StreamThr :56275 [internal.py:wandb_internal():85] W&B internal server running at pid: 56275, started at: 2025-04-01 22:33:08.025640
2025-04-01 22:33:08,028 DEBUG   HandlerThread:56275 [handler.py:handle_request():158] handle_request: status
2025-04-01 22:33:08,028 INFO    WriterThread:56275 [datastore.py:open_for_write():87] open: /home/zhongqi/Documents/workspace/G1_sim/wandb/run-20250401_223308-thgtvps2/run-thgtvps2.wandb
2025-04-01 22:33:08,028 DEBUG   SenderThread:56275 [sender.py:send():379] send: header
2025-04-01 22:33:08,030 DEBUG   SenderThread:56275 [sender.py:send():379] send: run
2025-04-01 22:33:08,395 INFO    SenderThread:56275 [dir_watcher.py:__init__():211] watching files in: /home/zhongqi/Documents/workspace/G1_sim/wandb/run-20250401_223308-thgtvps2/files
2025-04-01 22:33:08,395 INFO    SenderThread:56275 [sender.py:_start_run_threads():1188] run started: thgtvps2 with start time 1743561188.025505
2025-04-01 22:33:08,397 DEBUG   HandlerThread:56275 [handler.py:handle_request():158] handle_request: check_version
2025-04-01 22:33:08,397 DEBUG   SenderThread:56275 [sender.py:send_request():406] send_request: check_version
2025-04-01 22:33:08,639 DEBUG   HandlerThread:56275 [handler.py:handle_request():158] handle_request: run_start
2025-04-01 22:33:08,645 DEBUG   HandlerThread:56275 [system_info.py:__init__():26] System info init
2025-04-01 22:33:08,645 DEBUG   HandlerThread:56275 [system_info.py:__init__():41] System info init done
2025-04-01 22:33:08,645 INFO    HandlerThread:56275 [system_monitor.py:start():194] Starting system monitor
2025-04-01 22:33:08,646 INFO    SystemMonitor:56275 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-04-01 22:33:08,646 INFO    HandlerThread:56275 [system_monitor.py:probe():214] Collecting system info
2025-04-01 22:33:08,646 INFO    SystemMonitor:56275 [interfaces.py:start():188] Started cpu monitoring
2025-04-01 22:33:08,647 INFO    SystemMonitor:56275 [interfaces.py:start():188] Started disk monitoring
2025-04-01 22:33:08,647 INFO    SystemMonitor:56275 [interfaces.py:start():188] Started gpu monitoring
2025-04-01 22:33:08,648 INFO    SystemMonitor:56275 [interfaces.py:start():188] Started memory monitoring
2025-04-01 22:33:08,648 INFO    SystemMonitor:56275 [interfaces.py:start():188] Started network monitoring
2025-04-01 22:33:08,661 DEBUG   HandlerThread:56275 [system_info.py:probe():152] Probing system
2025-04-01 22:33:08,664 DEBUG   HandlerThread:56275 [system_info.py:_probe_git():137] Probing git
2025-04-01 22:33:08,668 DEBUG   HandlerThread:56275 [system_info.py:_probe_git():145] Probing git done
2025-04-01 22:33:08,668 DEBUG   HandlerThread:56275 [system_info.py:probe():200] Probing system done
